anio_1;anio_2;anio_3;anio_4;anio_5;anio_6;anio_7;anio_8;anio_9;anio_10;anio_11;anio_12;anio_13;anio_14;anio_15;anio_16;anio_17;anio_18;anio_19;anio_20;anio_21;anio_22;anio_23;anio_24;areas
0.2;0.236;0.215;0.201;0.221;0.236;0.129;0.148;0.163;0.192;0.177;0.229;0.265;0.221;0.229;0.242;0.325;0.276;0.234;0.269;0.269;0.219;0.201;0.198;Atomic and Molecular Physics, and Optics
0.2;0.236;0.215;0.201;0.221;0.236;0.129;0.148;0.163;0.192;0.177;0.229;0.265;0.221;0.229;0.242;0.325;0.276;0.234;0.269;0.269;0.219;0.201;0.198;Computational Mathematics
0.137;0.125;0.161;0.233;0.237;0.192;0.324;0.274;0.294;0.336;0.388;0.532;0.457;0.584;0.623;0.702;0.609;0.585;0.684;0.726;0.609;0.554;1.011;0.968;Modeling and Simulation
0.137;0.125;0.161;0.233;0.237;0.192;0.324;0.274;0.294;0.336;0.388;0.532;0.457;0.584;0.623;0.702;0.609;0.585;0.684;0.726;0.609;0.554;1.011;0.968;Hardware and Architecture
0.137;0.125;0.161;0.233;0.237;0.192;0.324;0.274;0.294;0.336;0.388;0.532;0.457;0.584;0.623;0.702;0.609;0.585;0.684;0.726;0.609;0.554;1.011;0.968;Software
0.148;0.208;0.29;0.266;0.314;0.332;0.478;0.52;0.178;0.264;0.227;0.56;0.218;0.261;0.35;0.279;0.608;0.701;0.288;0.535;0.302;0.329;0.134;0.195;Mathematical Physics
0.148;0.208;0.29;0.266;0.314;0.332;0.478;0.52;0.178;0.264;0.227;0.56;0.218;0.261;0.35;0.279;0.608;0.701;0.288;0.535;0.302;0.329;0.134;0.195;Algebra and Number Theory
0.148;0.208;0.29;0.266;0.314;0.332;0.478;0.52;0.178;0.264;0.227;0.56;0.218;0.261;0.35;0.279;0.608;0.701;0.288;0.535;0.302;0.329;0.134;0.195;Analysis
0.148;0.208;0.29;0.266;0.314;0.332;0.478;0.52;0.178;0.264;0.227;0.56;0.218;0.261;0.35;0.279;0.608;0.701;0.288;0.535;0.302;0.329;0.134;0.195;Geometry and Topology
0.582;0.465;0.558;0.716;0.868;0.579;0.813;0.662;0.856;0.471;0.512;0.616;0.554;0.736;0.549;0.768;0.8;0.682;0.445;0.308;0.516;0.334;0.502;0.32;Hardware and Architecture
0.582;0.465;0.558;0.716;0.868;0.579;0.813;0.662;0.856;0.471;0.512;0.616;0.554;0.736;0.549;0.768;0.8;0.682;0.445;0.308;0.516;0.334;0.502;0.32;Software
0.582;0.465;0.558;0.716;0.868;0.579;0.813;0.662;0.856;0.471;0.512;0.616;0.554;0.736;0.549;0.768;0.8;0.682;0.445;0.308;0.516;0.334;0.502;0.32;Theoretical Computer Science
0.117;0.179;0.271;0.294;0.331;0.188;0.14;0.173;0.26;0.249;0.159;0.156;0.241;0.107;0.236;0.239;0.224;0.217;0.252;0.22;0.19;0.19;0.316;0.323;Control and Systems Engineering
